title,venue,town,date,url,description,address,source,scraped_at
Preschool Music Hour,Agganis Arena,Boston,2025-12-13T17:30:05.154372,https://example.com/event-117,Music and movement for young children,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154795
Family Music Workshop,Cambridge Public Library,Cambridge,2025-12-16T12:00:05.154372,https://example.com/event-120,Interactive music-making for families,"449 Broadway, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154808
Children's Theater Musical,Symphony Hall,Boston,2025-12-19T10:30:05.154372,https://example.com/event-123,Family-friendly musical performance,"301 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154818
Kids' World Music Festival,Paradise Rock Club,Boston,2025-12-22T18:00:05.154372,https://example.com/event-126,Music from around the world for families,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154827
All Ages Acoustic Show,Arts at the Armory,Somerville,2025-12-28T19:00:05.154372,https://example.com/event-132,Acoustic music suitable for all ages,"191 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154846
Kidz Bop Live,Somerville Theatre,Somerville,2025-12-31T19:30:05.154372,https://example.com/event-135,Today's biggest hits performed for kids,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154858
Disney Sing-Along,Arlington Town Hall,Arlington,2026-01-03T13:30:05.154372,https://example.com/event-138,Sing your favorite Disney songs,"730 Massachusetts Ave, Arlington, MA",ExpandedMockData,2026-02-14T16:31:05.154868
All Ages Acoustic Show,The Sinclair,Cambridge,2026-01-06T11:00:05.154372,https://example.com/event-141,Acoustic music suitable for all ages,"52 Church St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154877
Elementary School Band Concert,ONCE Ballroom,Somerville,2026-01-24T14:30:05.154372,https://example.com/event-159,Student musicians perform,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154936
Kidz Bop Live,Symphony Hall,Boston,2026-01-27T14:00:05.154372,https://example.com/event-162,Today's biggest hits performed for kids,"301 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154945
Toddler Music Class Performance,Boston Children's Museum,Boston,2026-01-30T12:30:05.154372,https://example.com/event-165,Interactive music for preschool children,"308 Congress St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154954
Children's Chorus Performance,Somerville Arts Center,Somerville,2026-02-02T11:00:05.154372,https://example.com/event-168,Young voices perform classical and contemporary pieces,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154964
Family Folk Festival,The Sinclair,Cambridge,2026-02-05T16:00:05.154372,https://example.com/event-171,Traditional folk music with sing-alongs for all ages,"52 Church St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154973
Children's Theater Musical,Somerville Theatre,Somerville,2026-02-11T16:00:05.154372,https://example.com/event-177,Family-friendly musical performance,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154992
Kids Rock Concert,House of Blues Boston,Boston,2026-02-20T17:00:05.154372,https://example.com/event-186,High-energy rock music for children and families,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155020
Kids' World Music Festival,Paradise Rock Club,Boston,2026-02-23T13:00:05.154372,https://example.com/event-189,Music from around the world for families,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155029
Toddler Music Class Performance,Boston Public Library - Central,Boston,2026-02-26T11:30:05.154372,https://example.com/event-192,Interactive music for preschool children,"700 Boylston St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155038
Kids' World Music Festival,Cambridge Public Library,Cambridge,2026-03-01T18:30:05.154372,https://example.com/event-195,Music from around the world for families,"449 Broadway, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155048
Preschool Music Hour,Agganis Arena,Boston,2026-03-07T15:30:05.154372,https://example.com/event-201,Music and movement for young children,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155067
Young People's Symphony,Somerville Theatre,Somerville,2026-03-10T13:30:05.154372,https://example.com/event-204,Introduction to orchestral music for kids,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155076
All Ages Acoustic Show,Agganis Arena,Boston,2026-03-13T18:00:05.154372,https://example.com/event-207,Acoustic music suitable for all ages,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155086
Toddler Music Class Performance,ONCE Ballroom,Somerville,2026-03-22T18:00:05.154372,https://example.com/event-216,Interactive music for preschool children,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155113
All Ages Acoustic Show,Agganis Arena,Boston,2026-03-25T12:30:05.154372,https://example.com/event-219,Acoustic music suitable for all ages,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155123
Youth Orchestra Concert,Sanders Theatre,Cambridge,2026-03-28T16:30:05.154372,https://example.com/event-222,Young musicians showcase their talents,"45 Quincy St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155132
Children's Theater Musical,Club Passim,Cambridge,2026-03-31T17:00:05.154372,https://example.com/event-225,Family-friendly musical performance,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155141
Elementary School Band Concert,ONCE Ballroom,Somerville,2026-04-03T19:30:05.154372,https://example.com/event-228,Student musicians perform,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155150
Youth Orchestra Concert,Boston Public Library - Central,Boston,2026-04-06T13:00:05.154372,https://example.com/event-231,Young musicians showcase their talents,"700 Boylston St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155160
Family Jazz Afternoon,Regent Theatre,Arlington,2026-04-12T16:30:05.154372,https://example.com/event-237,Jazz music in a family-friendly setting,"7 Medford St, Arlington, MA",ExpandedMockData,2026-02-14T16:31:05.155179
Kids Rock Concert,MIT Kresge Auditorium,Cambridge,2026-04-15T11:30:05.154372,https://example.com/event-240,High-energy rock music for children and families,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155188
Youth Orchestra Concert,Paradise Rock Club,Boston,2026-04-18T11:30:05.154372,https://example.com/event-243,Young musicians showcase their talents,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155198
Children's Theater Musical,Paradise Rock Club,Boston,2026-04-21T19:30:05.154372,https://example.com/event-246,Family-friendly musical performance,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155207
Family Jazz Afternoon,Lexington Public Library,Lexington,2026-04-24T18:30:05.154372,https://example.com/event-249,Jazz music in a family-friendly setting,"1625 Massachusetts Ave, Lexington, MA",ExpandedMockData,2026-02-14T16:31:05.155216
Family Folk Festival,Waltham Public Library,Waltham,2026-04-27T17:30:05.154372,https://example.com/event-252,Traditional folk music with sing-alongs for all ages,"735 Main St, Waltham, MA",ExpandedMockData,2026-02-14T16:31:05.155225
Family Jazz Afternoon,ONCE Ballroom,Somerville,2026-05-03T14:00:05.154372,https://example.com/event-258,Jazz music in a family-friendly setting,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155243
Youth Orchestra Concert,Paradise Rock Club,Boston,2026-05-12T16:30:05.154372,https://example.com/event-267,Young musicians showcase their talents,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155273
Kidz Bop Live,The Sinclair,Cambridge,2026-05-18T16:00:05.154372,https://example.com/event-273,Today's biggest hits performed for kids,"52 Church St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155294
Kids Rock Concert,The Sinclair,Cambridge,2026-05-21T16:30:05.154372,https://example.com/event-276,High-energy rock music for children and families,"52 Church St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155303
Kids Rock Concert,Regent Theatre,Arlington,2026-05-27T11:30:05.154372,https://example.com/event-282,High-energy rock music for children and families,"7 Medford St, Arlington, MA",ExpandedMockData,2026-02-14T16:31:05.155322
Toddler Music Class Performance,Paradise Rock Club,Boston,2026-05-30T16:30:05.154372,https://example.com/event-285,Interactive music for preschool children,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155331
All Ages Acoustic Show,TD Garden,Boston,2026-06-02T16:30:05.154372,https://example.com/event-288,Acoustic music suitable for all ages,"100 Legends Way, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155340
Children's Chorus Performance,Newton Free Library,Newton,2026-06-05T17:00:05.154372,https://example.com/event-291,Young voices perform classical and contemporary pieces,"330 Homer St, Newton, MA",ExpandedMockData,2026-02-14T16:31:05.155349
Kids Rock Concert,Burr Performing Arts Center,Newton,2026-06-11T13:00:05.154372,https://example.com/event-297,High-energy rock music for children and families,"500 Lowell Ave, Newton, MA",ExpandedMockData,2026-02-14T16:31:05.155367
Family Folk Festival,Waltham Public Library,Waltham,2026-06-14T17:00:05.154372,https://example.com/event-300,Traditional folk music with sing-alongs for all ages,"735 Main St, Waltham, MA",ExpandedMockData,2026-02-14T16:31:05.155376
Toddler Music Class Performance,Arts at the Armory,Somerville,2026-06-17T15:00:05.154372,https://example.com/event-303,Interactive music for preschool children,"191 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155385
All Ages Acoustic Show,ONCE Ballroom,Somerville,2026-06-23T16:30:05.154372,https://example.com/event-309,Acoustic music suitable for all ages,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155404
Family Jazz Afternoon,Arlington Town Hall,Arlington,2026-06-26T13:00:05.154372,https://example.com/event-312,Jazz music in a family-friendly setting,"730 Massachusetts Ave, Arlington, MA",ExpandedMockData,2026-02-14T16:31:05.155413
Children's Chorus Performance,Agganis Arena,Boston,2026-07-02T18:30:05.154372,https://example.com/event-318,Young voices perform classical and contemporary pieces,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155432
Kids' World Music Festival,Somerville Arts Center,Somerville,2026-07-11T19:30:05.154372,https://example.com/event-327,Music from around the world for families,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155461
Elementary School Band Concert,Paradise Rock Club,Boston,2026-07-17T16:30:05.154372,https://example.com/event-333,Student musicians perform,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155479
Youth Orchestra Concert,TD Garden,Boston,2026-07-20T15:30:05.154372,https://example.com/event-336,Young musicians showcase their talents,"100 Legends Way, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155488
Children's Theater Musical,Berklee Performance Center,Boston,2026-07-23T13:00:05.154372,https://example.com/event-339,Family-friendly musical performance,"136 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155497
Preschool Music Hour,Agganis Arena,Boston,2026-07-26T13:30:05.154372,https://example.com/event-342,Music and movement for young children,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155506
Kids Rock Concert,Somerville Arts Center,Somerville,2026-07-29T11:30:05.154372,https://example.com/event-345,High-energy rock music for children and families,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155515
Young People's Symphony,Boston Public Library - Central,Boston,2026-08-01T15:30:05.154372,https://example.com/event-348,Introduction to orchestral music for kids,"700 Boylston St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155524
Family Jazz Afternoon,ONCE Ballroom,Somerville,2026-08-04T18:30:05.154372,https://example.com/event-351,Jazz music in a family-friendly setting,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155533
Toddler Music Class Performance,Club Passim,Cambridge,2026-08-07T13:00:05.154372,https://example.com/event-354,Interactive music for preschool children,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155542
Children's Theater Musical,Newton Free Library,Newton,2026-08-10T12:00:05.154372,https://example.com/event-357,Family-friendly musical performance,"330 Homer St, Newton, MA",ExpandedMockData,2026-02-14T16:31:05.155552
Young People's Symphony,Paradise Rock Club,Boston,2026-08-13T18:30:05.154372,https://example.com/event-360,Introduction to orchestral music for kids,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155561
Disney Sing-Along,Cary Memorial Hall,Lexington,2026-08-16T12:30:05.154372,https://example.com/event-363,Sing your favorite Disney songs,"1605 Massachusetts Ave, Lexington, MA",ExpandedMockData,2026-02-14T16:31:05.155570
Monthly Family Concert Series,Symphony Hall,Boston,2025-08-15T14:00:05.154372,https://example.com/monthly-Boston-0,Monthly concert series featuring family-friendly music and performances for children of all ages,"301 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155577
Monthly Family Concert Series,Cambridge Public Library,Cambridge,2025-08-15T14:00:05.154372,https://example.com/monthly-Cambridge-0,Monthly concert series featuring family-friendly music and performances for children of all ages,"449 Broadway, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155582
Monthly Family Concert Series,Arts at the Armory,Somerville,2025-08-15T14:00:05.154372,https://example.com/monthly-Somerville-0,Monthly concert series featuring family-friendly music and performances for children of all ages,"191 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155587
Monthly Family Concert Series,Berklee Performance Center,Boston,2025-09-15T14:00:05.154372,https://example.com/monthly-Boston-1,Monthly concert series featuring family-friendly music and performances for children of all ages,"136 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155592
Monthly Family Concert Series,Sanders Theatre,Cambridge,2025-09-15T14:00:05.154372,https://example.com/monthly-Cambridge-1,Monthly concert series featuring family-friendly music and performances for children of all ages,"45 Quincy St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155597
Monthly Family Concert Series,Somerville Theatre,Somerville,2025-09-15T14:00:05.154372,https://example.com/monthly-Somerville-1,Monthly concert series featuring family-friendly music and performances for children of all ages,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155601
Monthly Family Concert Series,Berklee Performance Center,Boston,2025-10-15T14:00:05.154372,https://example.com/monthly-Boston-2,Monthly concert series featuring family-friendly music and performances for children of all ages,"136 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155607
Monthly Family Concert Series,MIT Kresge Auditorium,Cambridge,2025-10-15T14:00:05.154372,https://example.com/monthly-Cambridge-2,Monthly concert series featuring family-friendly music and performances for children of all ages,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155614
Monthly Family Concert Series,Somerville Arts Center,Somerville,2025-10-15T14:00:05.154372,https://example.com/monthly-Somerville-2,Monthly concert series featuring family-friendly music and performances for children of all ages,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155619
Monthly Family Concert Series,House of Blues Boston,Boston,2025-11-15T14:00:05.154372,https://example.com/monthly-Boston-3,Monthly concert series featuring family-friendly music and performances for children of all ages,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155624
Monthly Family Concert Series,Sanders Theatre,Cambridge,2025-11-15T14:00:05.154372,https://example.com/monthly-Cambridge-3,Monthly concert series featuring family-friendly music and performances for children of all ages,"45 Quincy St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155629
Monthly Family Concert Series,ONCE Ballroom,Somerville,2025-11-15T14:00:05.154372,https://example.com/monthly-Somerville-3,Monthly concert series featuring family-friendly music and performances for children of all ages,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155634
Monthly Family Concert Series,Paradise Rock Club,Boston,2025-12-15T14:00:05.154372,https://example.com/monthly-Boston-4,Monthly concert series featuring family-friendly music and performances for children of all ages,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155639
Monthly Family Concert Series,Club Passim,Cambridge,2025-12-15T14:00:05.154372,https://example.com/monthly-Cambridge-4,Monthly concert series featuring family-friendly music and performances for children of all ages,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155643
Monthly Family Concert Series,Somerville Arts Center,Somerville,2025-12-15T14:00:05.154372,https://example.com/monthly-Somerville-4,Monthly concert series featuring family-friendly music and performances for children of all ages,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155648
Monthly Family Concert Series,TD Garden,Boston,2026-01-15T14:00:05.154372,https://example.com/monthly-Boston-5,Monthly concert series featuring family-friendly music and performances for children of all ages,"100 Legends Way, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155653
Monthly Family Concert Series,MIT Kresge Auditorium,Cambridge,2026-01-15T14:00:05.154372,https://example.com/monthly-Cambridge-5,Monthly concert series featuring family-friendly music and performances for children of all ages,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155658
Monthly Family Concert Series,Somerville Theatre,Somerville,2026-01-15T14:00:05.154372,https://example.com/monthly-Somerville-5,Monthly concert series featuring family-friendly music and performances for children of all ages,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155664
Monthly Family Concert Series,Berklee Performance Center,Boston,2026-02-15T14:00:05.154372,https://example.com/monthly-Boston-6,Monthly concert series featuring family-friendly music and performances for children of all ages,"136 Massachusetts Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155670
Monthly Family Concert Series,Club Passim,Cambridge,2026-02-15T14:00:05.154372,https://example.com/monthly-Cambridge-6,Monthly concert series featuring family-friendly music and performances for children of all ages,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155674
Monthly Family Concert Series,Somerville Theatre,Somerville,2026-02-15T14:00:05.154372,https://example.com/monthly-Somerville-6,Monthly concert series featuring family-friendly music and performances for children of all ages,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155679
Monthly Family Concert Series,House of Blues Boston,Boston,2026-03-15T14:00:05.154372,https://example.com/monthly-Boston-7,Monthly concert series featuring family-friendly music and performances for children of all ages,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155684
Monthly Family Concert Series,Club Passim,Cambridge,2026-03-15T14:00:05.154372,https://example.com/monthly-Cambridge-7,Monthly concert series featuring family-friendly music and performances for children of all ages,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155689
Monthly Family Concert Series,Somerville Arts Center,Somerville,2026-03-15T14:00:05.154372,https://example.com/monthly-Somerville-7,Monthly concert series featuring family-friendly music and performances for children of all ages,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155693
Monthly Family Concert Series,House of Blues Boston,Boston,2026-04-15T14:00:05.154372,https://example.com/monthly-Boston-8,Monthly concert series featuring family-friendly music and performances for children of all ages,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155698
Monthly Family Concert Series,Cambridge Public Library,Cambridge,2026-04-15T14:00:05.154372,https://example.com/monthly-Cambridge-8,Monthly concert series featuring family-friendly music and performances for children of all ages,"449 Broadway, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155703
Monthly Family Concert Series,Somerville Theatre,Somerville,2026-04-15T14:00:05.154372,https://example.com/monthly-Somerville-8,Monthly concert series featuring family-friendly music and performances for children of all ages,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155708
Monthly Family Concert Series,Boston Children's Museum,Boston,2026-05-15T14:00:05.154372,https://example.com/monthly-Boston-9,Monthly concert series featuring family-friendly music and performances for children of all ages,"308 Congress St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155714
Monthly Family Concert Series,MIT Kresge Auditorium,Cambridge,2026-05-15T14:00:05.154372,https://example.com/monthly-Cambridge-9,Monthly concert series featuring family-friendly music and performances for children of all ages,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155718
Monthly Family Concert Series,ONCE Ballroom,Somerville,2026-05-15T14:00:05.154372,https://example.com/monthly-Somerville-9,Monthly concert series featuring family-friendly music and performances for children of all ages,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155723
Monthly Family Concert Series,House of Blues Boston,Boston,2026-06-15T14:00:05.154372,https://example.com/monthly-Boston-10,Monthly concert series featuring family-friendly music and performances for children of all ages,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155728
Monthly Family Concert Series,MIT Kresge Auditorium,Cambridge,2026-06-15T14:00:05.154372,https://example.com/monthly-Cambridge-10,Monthly concert series featuring family-friendly music and performances for children of all ages,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155733
Monthly Family Concert Series,Somerville Theatre,Somerville,2026-06-15T14:00:05.154372,https://example.com/monthly-Somerville-10,Monthly concert series featuring family-friendly music and performances for children of all ages,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155737
Monthly Family Concert Series,Agganis Arena,Boston,2026-07-15T14:00:05.154372,https://example.com/monthly-Boston-11,Monthly concert series featuring family-friendly music and performances for children of all ages,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.155742
Monthly Family Concert Series,Cambridge Public Library,Cambridge,2026-07-15T14:00:05.154372,https://example.com/monthly-Cambridge-11,Monthly concert series featuring family-friendly music and performances for children of all ages,"449 Broadway, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.155747
Monthly Family Concert Series,Arts at the Armory,Somerville,2026-07-15T14:00:05.154372,https://example.com/monthly-Somerville-11,Monthly concert series featuring family-friendly music and performances for children of all ages,"191 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.155752
